SYSCODE,CODE,REGIONAL,KABUPATEN,KECAMATAN,STATUS,THREE LETTER CODE,MANIFEST DOMESTIC,MANIFEST INTERCITY,ZONA TARIF (PPDD),ZONA DELEVERY (QCE),RING ORIGIN,WILAYAH
CGK10000,CGK,JAKARTA,DKI Jakarta,Jakarta,CABANG UTAMA,CGK,CGK10000,CGK10000,A,A,RING 1,
CGK10100,CGK,JAKARTA,Jakarta Barat,Jakarta Barat,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10101,CGK,JAKARTA,Jakarta Barat,Grogol Petamburan,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10102,CGK,JAKARTA,Jakarta Barat,Kalideres,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10103,CGK,JAKARTA,Jakarta Barat,Kebon Jeruk,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10104,CGK,JAKARTA,Jakarta Barat,Kembangan,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10105,CGK,JAKARTA,Jakarta Barat,Palmerah,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10106,CGK,JAKARTA,Jakarta Barat,Taman Sari,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10107,CGK,JAKARTA,Jakarta Barat,Tambora,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10108,CGK,JAKARTA,Jakarta Barat,Cengkareng,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10200,CGK,JAKARTA,Jakarta Selatan,Jakarta Selatan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10201,CGK,JAKARTA,Jakarta Selatan,Jagakarsa,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10202,CGK,JAKARTA,Jakarta Selatan,Kebayoran Baru,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10203,CGK,JAKARTA,Jakarta Selatan,Kebayoran Lama,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10204,CGK,JAKARTA,Jakarta Selatan,Mampang Prapatan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10205,CGK,JAKARTA,Jakarta Selatan,Pancoran,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10206,CGK,JAKARTA,Jakarta Selatan,Pasar Minggu,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10207,CGK,JAKARTA,Jakarta Selatan,Pesanggrahan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10208,CGK,JAKARTA,Jakarta Selatan,Setia Budi,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10209,CGK,JAKARTA,Jakarta Selatan,Tebet,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10211,CGK,JAKARTA,Jakarta Selatan,Cilandak,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10300,CGK,JAKARTA,Jakarta Pusat,Jakarta Pusat,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10301,CGK,JAKARTA,Jakarta Pusat,Cempaka Putih,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10302,CGK,JAKARTA,Jakarta Pusat,Gambir,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10303,CGK,JAKARTA,Jakarta Pusat,Johar Baru,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10304,CGK,JAKARTA,Jakarta Pusat,Kemayoran,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10305,CGK,JAKARTA,Jakarta Pusat,Menteng,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10306,CGK,JAKARTA,Jakarta Pusat,Sawah Besar,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
