Coding,Provinsi,Kota / Kabupaten,Kecamatan,Kelurahan,Kode POS,Status Cabang,ZONA,CABANG,WILAYAH GROUPING,Gate Inbound,Wilayah Delivery,Jadwal Delivery
KOE21200,Nusa Tenggara Timur (NTT),Manggarai Barat ,Labuan Bajo,Labuan Bajo,0,KANTOR PERWAKILAN,A,LABUAN BAJO,FLORES,Gate LBJ,Cabang Labuan Bajo,
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Bajawa,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Beiwali,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Beja,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Bela,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Agen Mauponggo,Setiap hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Bomari,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Borani,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Bowali,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Faobata,86419,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Jawameze,86416,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Kisanata,86411,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Langagedha,86418,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Lebijaga,86418,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Naru (Natu),86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Ngedukelu,86415,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
KOE20900,Nusa Tenggara Timur (NTT),Ngada ,Bajawa,Ngoranale,86413,KANTOR PERWAKILAN,B,BAJAWA,FLORES,Gate LBJ,Cabang Bajawa,Setiap Hari
