3LC ORIGIN,ORIGIN GROPUP,ORIGIN
CGK,Origin 1,"Jabo, Jabar, Banten"
BDO,Origin 1,"Jabo, Jabar, Banten"
CBN,Origin 1,"Jabo, Jabar, Banten"
KRW,Origin 1,"Jabo, Jabar, Banten"
PWT,Origin 1,"Jabo, Jabar, Banten"
SMI,Origin 1,"Jabo, Jabar, Banten"
TSM,Origin 1,"Jabo, Jabar, Banten"
CLG,Origin 1,"Jabo, Jabar, Banten"
TGR,Origin 1,"Jabo, Jabar, Banten"
DPK,Origin 1,"Jabo, Jabar, Banten"
BOO,Origin 1,"Jabo, Jabar, Banten"
BKI,Origin 1,"Jabo, Jabar, Banten"
CKR,Origin 1,"Jabo, Jabar, Banten"
CXP,Origin 2,"Jateng, Jatim, Bali"
JOG,Origin 2,"Jateng, Jatim, Bali"
MGL,Origin 2,"Jateng, Jatim, Bali"
SOC,Origin 2,"Jateng, Jatim, Bali"
SRG,Origin 2,"Jateng, Jatim, Bali"
TGL,Origin 2,"Jateng, Jatim, Bali"
JBR,Origin 2,"Jateng, Jatim, Bali"
KDR,Origin 2,"Jateng, Jatim, Bali"
MDN,Origin 2,"Jateng, Jatim, Bali"
MJK,Origin 2,"Jateng, Jatim, Bali"
MXG,Origin 2,"Jateng, Jatim, Bali"
PBL,Origin 2,"Jateng, Jatim, Bali"
PSR,Origin 2,"Jateng, Jatim, Bali"
SUB,Origin 2,"Jateng, Jatim, Bali"
SDA,Origin 2,"Jateng, Jatim, Bali"
DPS,Origin 2,"Jateng, Jatim, Bali"
AMI,Origin 3,Others
KOE,Origin 3,Others
BDJ,Origin 3,Others
BPN,Origin 3,Others
BTG,Origin 3,Others
PKY,Origin 3,Others
PNK,Origin 3,Others
SMD,Origin 3,Others
TRK,Origin 3,Others
GTO,Origin 3,Others
KDI,Origin 3,Others
MDC,Origin 3,Others
PLW,Origin 3,Others
UPG,Origin 3,Others
BKS,Origin 3,Others
BTH,Origin 3,Others
BTJ,Origin 3,Others
DJB,Origin 3,Others
DTB,Origin 3,Others
MES,Origin 3,Others
PDG,Origin 3,Others
PGK,Origin 3,Others
PKU,Origin 3,Others
PLM,Origin 3,Others
TJQ,Origin 3,Others
TKG,Origin 3,Others
LBJ,Origin 3,Others
TNJ,Origin 3,Others
