CABANG,DESTINATION,3LC,Zona,Regional,DESTINATION GROUP LZD,"FIRST ATTEMP ( REG & Jabo, Jabar, Banten )","FIRST ATTEMP ( REG & Jateng, Jatim, Bali )",FIRST ATTEMP ( REG & Others ),"REKOMENDASI RETURN ( REG & Jabo, Jabar, Banten )","REKOMENDASI RETURN ( REG & Jateng, Jatim, Bali )",REKOMENDASI RETURN ( REG & Others ),"REKOMENDASI OM ( REG & Jabo, Jabar, Banten )","REKOMENDASI OM ( REG & Jateng, Jatim, Bali )",REKOMENDASI OM ( REG & Others ),"BREACH ( REG & Jabo, Jabar, Banten)","BREACH ( REG & Jateng, Jatim, Bali)",BREACH ( REG & Others),"FIRST ATTEMP ( JTR & Jabo, Jabar, Banten )","FIRST ATTEMP ( JTR & Jabo, Jabar, Banten ).1",FIRST ATTEMP ( JTR & Others ),"REKOMENDASI RETURN ( JTR & Jabo, Jabar, Banten )","REKOMENDASI RETURN ( JTR & Jateng, Jatim, Bali )",REKOMENDASI RETURN ( JTR & Others ),"REKOMENDASI OM ( JTR & Jabo, Jabar, Banten )","REKOMENDASI OM ( JTR & Jateng, Jatim, Bali )",REKOMENDASI OM ( JTR & Others ),"BREACH ( JTR & Jabo, Jabar, Banten )","BREACH ( JTR & Jateng, Jatim, Bali )",BREACH ( JTR & Others )
KOTA KUPANG,KOE10000,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10029,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10030,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10031,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10032,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10033,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
KOTA KUPANG,KOE10034,KOE,A,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
WAIBAKUL,KOE10100,KOE,B,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
WAIBAKUL,KOE10101,KOE,D,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
WAIBAKUL,KOE10102,KOE,D,Regional Jatim Bali Nt,Papua & East Non Metro,9,9,14,11,11,20,12,12,21,18,18,35,19,19,24,22,22,27,23,23,28,40,40,50
