KOLOM DUMMY,DEST_KCU,DEST_REGION,SERVICE,ORIGIN_CODE,DEST_CODE,SLA_LDR,SLA_BREACH,SLA Return
REGBDO21222KOE10000,KOE,JTBNN,REG,BDO21222,KOE10000,,9,6
REGBDO21222KOE10029,KOE,JTBNN,REG,BDO21222,KOE10029,,9,6
REGBDO21222KOE10030,KOE,JTBNN,REG,BDO21222,KOE10030,,9,6
REGBDO21222KOE10031,KOE,JTBNN,REG,BDO21222,KOE10031,,9,6
REGBDO21222KOE10032,KOE,JTBNN,REG,BDO21222,KOE10032,,9,6
REGBDO21222KOE10033,KOE,JTBNN,REG,BDO21222,KOE10033,,9,6
REGBDO21222KOE10034,KOE,JTBNN,REG,BDO21222,KOE10034,,9,6
REGBDO10129KOE10000,KOE,JTBNN,REG,BDO10129,KOE10000,,9,6
REGBDO10129KOE10029,KOE,JTBNN,REG,BDO10129,KOE10029,,9,6
REGBDO10129KOE10030,KOE,JTBNN,REG,BDO10129,KOE10030,,9,6
REGBDO10129KOE10031,KOE,JTBNN,REG,BDO10129,KOE10031,,9,6
REGBDO10129KOE10032,KOE,JTBNN,REG,BDO10129,KOE10032,,9,6
REGBDO10129KOE10033,KOE,JTBNN,REG,BDO10129,KOE10033,,9,6
REGBDO10129KOE10034,KOE,JTBNN,REG,BDO10129,KOE10034,,9,6
REGCXP10011KOE10000,KOE,JTBNN,REG,CXP10011,KOE10000,,9,6
REGCXP10011KOE10029,KOE,JTBNN,REG,CXP10011,KOE10029,,9,6
REGCXP10011KOE10030,KOE,JTBNN,REG,CXP10011,KOE10030,,9,6
REGCXP10011KOE10031,KOE,JTBNN,REG,CXP10011,KOE10031,,9,6
REGCXP10011KOE10032,KOE,JTBNN,REG,CXP10011,KOE10032,,9,6
REGCXP10011KOE10033,KOE,JTBNN,REG,CXP10011,KOE10033,,9,6
REGCXP10011KOE10034,KOE,JTBNN,REG,CXP10011,KOE10034,,9,6
REGCXP10021KOE10000,KOE,JTBNN,REG,CXP10021,KOE10000,,9,6
REGCXP10021KOE10029,KOE,JTBNN,REG,CXP10021,KOE10029,,9,6
REGCXP10021KOE10030,KOE,JTBNN,REG,CXP10021,KOE10030,,9,6
REGCXP10021KOE10031,KOE,JTBNN,REG,CXP10021,KOE10031,,9,6
REGCXP10021KOE10032,KOE,JTBNN,REG,CXP10021,KOE10032,,9,6
REGCXP10021KOE10033,KOE,JTBNN,REG,CXP10021,KOE10033,,9,6
