STATUS CODE,CLOSE/OPEN,AREA CHECK POINT,GROUPING,TRIGGER STATUS,IDENTIFIKASI,DESCRIPTION,DEFINISI (Bahasa Indonesia),DISPLAYED AT ORION,-,DISPLAYED AT WEBSITE,-.1,DISPLAYED AT MYJNE,SMS NOTIFICATION SCRIPT,STATUS POD,STATUS FOLLOW UP
CR8,CLOSE, DELIVERY,RETURN,,RUNSHEET (DRI),KIRIMAN DIKEMBALIKAN KE MARKETPLACE,KIRIMAN DIKEMBALIKAN ATAS PERMINTAAN MARKETPLACE KARENA KONDISI TERTENTU/KARENA GAGAL PENGANTARAN KE ALAMAT SHIPPER,RETURN TO MARKETPLACE,,RETURN TO MARKETPLACE,,,,CLOSE / RETURN ORIGIN,
CR6,OPEN,UNDEL,UNDELIVERED/FAIL DELIVERY,,RUNSHEET (DRI),SHIPMENT CHANGED TO NEW ADDRESS,NEW ADDRESS,,,,,,,CLOSE / SUKSES,
CR5,OPEN,UNDEL,CUSTOMER REQUEST,,RUNSHEET (DRI),SHIPMENT BEING HELD AS SHIPPERS REQUEST,HOLD FOR FURTHER INSTRUCTIONS,,,SHIPMENT BEING HELD AS SHIPPERS REQUEST,,,,CLOSE / CR,
C02,,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,CLAIM DAMAGE PROCESS,,,Y,SHIPMENT PROBLEM,N,N,,CLOSE,
CR4,CLOSE,UNDEL,DESTROYED,,RUNSHEET (DRI),SHIPMENT DESTROYED,DESTROYED,,,SHIPMENT DESTROYED AS COMPANY REGULATION,,,,CLOSE / CR,
DP2,,DELIVERY,PROBLEM SHIPMENT,,RUNSHEET (DRI),KIRIMAN SUDAH DIAMBIL,,,,,,,,,
DP3,,DELIVERY,PROBLEM SHIPMENT,,RUNSHEET (DRI),TIDAK MASUK AREA LAYANAN YES (OUT OF YES AREA),,,,,,,,,
HL1,,OUTBOUND,"HOLD 
PROCESS ",,PROPOSE DI FUNGSI MODULE IRREG,MISMATCH DATA,PENUNDAAN PROSES PENGIRIMAN DI WAREHOUSE KARENA ADA KETIDAKSESUAIAN ANTARA DATA DENGAN FISIK KIRIMAN ,SHIPMENT BEING HELD AT WAREHOUSE DUE TO DATA MISMATCH ,TRANSPORT PROBLEM,SHIPMENT IS BEING HELD DUE TO MISMATCH DATA,Y,Y,,CLOSE / UNDEL,IT
OPX,,OUTBOUND,"OUTBOUND
 PROCESS",,PROPOSE DI FUNGSI MODULE IRREG,RECEIVED AT SORTING CENTER,PROSES PENYERAHAN KIRIMAN IRREGULARITY DARI PETUGAS TRANSPORT/GATEWAY KEPADA PETUGAS CHECKER OUTBOUND,,TRANSPORT PROBLEM,RECEIVED AT SORTING CENTER [CITY),Y,Y,,,IT
OMX,,OUTBOUND,"OUTBOUND
 PROCESS",,PROPOSE DI FUNGSI MODULE IRREG,OUTBOUND MANIFEST ,PROSES PEMBUATAN DATA KIRIMAN  IRREGULARITY YANG AKAN DIBERANGKATKAN ,,TRANSPORT PROBLEM,PROCESSED AT SORTING CENTER [CITY],Y,Y,,,IT
T01,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,OFFLOAD,KIRIMAN SUDAH MASUK PESAWAT/SARANA PENGANGKUT TETAPI KARENA SESUATU HAL KIRIMAN DITURUNKAN KEMBALI ,"SHIPMENT ALREADY UPLOADED, BUT UNLOADED DUE TO CERTAIN REASON",Y,TRANSPORT PROBLEM,Y,Y,,,IT
T02,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,OVERLOAD,KIRIMAN TIDAK DAPAT BERANGKAT DIKARENAKAN SUDAH MELEBIHI KAPASITAS MUATAN SARANA PENGANGKUT,SHIPMENT CAN NOT BE LOADED DUE TO CARRIER ALREADY OVER CAPACITY,Y,TRANSPORT PROBLEM,Y,Y,,,IT
T03,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,STRANDED,KONDISI KIRIMAN TERTAHAN DI KOTA TRANSIT,SHIPMENT BEING HELD AT TRANSIT CITY,Y,TRANSPORT PROBLEM,Y,Y,,,IT
T04,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,EMBARGO,PENGHENTIAN SEMENTARA PENERIMAAN DAN PENGANGKUTAN BARANG KARENA ALASAN TERTENTU,SHIPPING ACTIVITY SUSPENDED TEMPORARY FOR CERTAIN REASON (BY REGULATION),Y,TRANSPORT PROBLEM,Y,Y,,,IT
T05,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,OVER CARRIED ,KIRIMAN TERBAWA KE DESTINASI SELANJUTNYA KARENA KESALAHAN PETUGAS AIRLINES/SARANA PENGANGKUT,SHIPMENT CARRIED OVER TO OTHER AIPORT DUE TO TECHNICAL PROBLEM,Y,TRANSPORT PROBLEM,Y,Y,,,IT
T06,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,CANCEL FLIGHT,PEMBATALAN JADWAL KEBERANGKATAN,DEPARTURE SCHEDULE BEING CANCELLED,Y,TRANSPORT PROBLEM,Y,Y,,,IT
T07,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,RETURN TO BASE,PESAWAT KEMBALI KE AIRPORT ASAL KARENA ALASAN TERTENTU ,"AIRPLANE RETURN TO BASE DUE TO CERTAIN REASON (SAFETY,BAD WEATHER,ETC)",Y,TRANSPORT PROBLEM,Y,Y,,,IT
T08,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,DIVERT ,"PESAWAT DIALIHKAN KE BANDARA LAIN YANG BUKAN BANDARA TUJUAN, KARENA ALASAN TERTENTU (MISAL : CUACA BURUK, TEKNIS, SAFETY)","AIRPLANE DIVERTED NOT TO DESTINATION AIRPORT, DUE TO CERTAIN REASON (SAFETY,BAD WEATHER,ETC)",Y,TRANSPORT PROBLEM,Y,Y,,,IT
T09,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,DELAY ,PENUNDAAN JADWAL KEBERANGKATAN,DELAY OF SCHEDULE DEPARTURE,Y,TRANSPORT PROBLEM,Y,Y,,,IT
T11,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,RETURN TO BASE,SARANA PENGANGKUT KEMBALI KE STATION ASAL,TRANSPORTATION MODES BACK TO ORIGIN STATION,,TRANSPORT PROBLEM,,,,,
T12,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,DIVERT ,PENGALIHAN TUJUAN KE STATION LAIN,SWITCH OF DESTINATION TO ANOTHER STATION,,TRANSPORT PROBLEM,,,,,
T13,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,DELAY ,PENUNDAAN JADWAL KEBERANGKATAN,DELAY OF CARRIER DEPARTURE SCHEDULE,,TRANSPORT PROBLEM,,,,,
T14,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,PROPOSE DI FUNGSI MODULE IRREG,CHANGE SCHEDULE,PERUBAHAN JADWAL KEBERANGKATAN,CHANGE OR CARRIER DEPARTURE SCHEDULE,,TRANSPORT PROBLEM,,,,,
X1,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY TERMASUK KATEGORI DANGEROUS GOODS  (PENGALIHAN MODA TRANSPORTASI),SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK DANGEROUS GOODS,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn Yth, kiriman xxxxxxxxxxxxxxxx tdk  lolos x-ray utk pemberangkatan via udara & akan dialihkan dgn moda transportasi lain dgn penambahan waktu tempuh",,
X2,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE ANIMAL,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI HEWAN HIDUP (DOKUMEN TIDAK LENGKAP),SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE ANIMAL,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plngn Yth, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray krn dokumen tdk lengkap, mhn dokumen segera dilengkapi atau kiriman akan kami kembalikan.Hub JNE dikota anda",,
X3.1,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),"TIDAK LOLOS X-RAY SPECIAL CARGO-KIRIMAN MUDAH RUSAK,HANCUR/BUSUK (DOKUMEN TIDAK LENGKAP ATAU PACKING TIDAK STANDAR)","PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI KIRIMAN YANG MUDAH RUSAK,HANCUR ATAU BUSUK",SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-PERISHABLE ,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Pelanggan Yth, krmn xxxxxxxxxxxxxxx tdk lolos x-ray krn doc tdk lengkap/packing tdk standar, akan dialihkan dgn moda transportasi lain & penambahan wkt tempuh",,
X3.2,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),"TIDAK LOLOS X-RAY SPECIAL CARGO-KIRIMAN MUDAH RUSAK,HANCUR/BUSUK","PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI KIRIMAN YANG MUDAH RUSAK,HANCUR ATAU BUSUK",SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-PERISHABLE ,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn Yth, krmn xxxxxxxxxxxxxxxx tdk lolos x-ray krn doc tdk lengkap/packing tdk standar,mhn doc dilengkapi/packing disesuaikan.Hub JNE dikota anda",,
X4,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK SPECIAL CARGO-HUMAN REMAINS,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KIRIMAN JENAZAH,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-HUMAN REMAINS,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn Yth, krmn xxxxxxxxxxxxxxxx tdk lolos x-ray krn doc tdk lengkap/packing tdk standar,mhn doc dilengkapi/packing disesuaikan.Hub JNE dikota anda",,
X5,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK-VALUABLE GOODS,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI BARANG YANG MEMILIKI NILAI YANG TINGGI/BERHARGA,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK-VALUABLE GOODS,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Pelanggan Yth, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray terkait regulasi yg berlaku, kiriman akan kami kembalikan. Hub JNE dikota anda",,
X6,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK-STRONGLY SMELLING GOODS,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI BARANG YANG MEMILIKI BAU YANG SANGAT MENYENGAT,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK-STRONGLY SMELLING GOODS,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn Yth, krmn xxxxxxxxxxxxxxxx tdk lolos x-ray krn doc tdk lengkap/packing tdk standar,mhn doc dilengkapi/packing disesuaikan.Hub JNE dikota anda",,
X7.1,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),ID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE PLANT,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI TUMBUHAN (PENGALIHAN MODA TRANSPORTASI),SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE PLANT,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn Yth, kiriman xxxxxxxxxxxxxxxx tdk  lolos x-ray utk pemberangkatan via udara & akan dialihkan dgn moda transportasi lain dgn penambahan waktu tempuh",,
X7.2,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),ID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE PLANT,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI TUMBUHAN (DOKUMEN TIDAK LENGKAP),SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-LIVE PLANT,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn YTH, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray krn dokumen tdk lengkap, mohon dokumen segera dilengkapi atau kiriman akan dikembalikan. Hub JNE di kota anda",,
X8,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK SPECIAL CARGO-SWALLOW BIRD NEST,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK SARANG BURUNG WALET,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK SPECIAL CARGO-SWALLOW BIRD NEST,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn YTH, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray krn dokumen tdk lengkap, mohon dokumen segera dilengkapi atau kiriman akan dikembalikan. Hub JNE di kota anda",,
X9,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),DID NOT PASS X-RAY CHECK -FORBIDDEN,PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY ATAUPUN TERMASUK KATEGORI KIRIMAN YANG DILARANG,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK -FORBIDDEN,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Pelanggan Yth, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray terkait regulasi yg berlaku, kiriman akan kami kembalikan. Hub JNE dikota anda",,
X10,,"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",,XR (IRREG),"DID NOT PASS X-RAY CHECK -DOCUMENTS ARE NOT COMPLETE (LIQUID, POWDER, GEL)",PENUNDAAN PROSES PENGIRIMAN KARENA TIDAK LOLOS PEMERIKSAAN X-RAY KARENA DOKUMEN TIDAK LENGKAP,SHIPMENT BEING HELD DUE TO DID NOT PASS X-RAY CHECK -DOCUMENTS ARE NOT COMPLETE,Y,SHIPMENT IS BEING HELD.DID NOT PASS X-RAY SCANNING,Y,Y,"Plgn YTH, kiriman xxxxxxxxxxxxxxxx tdk lolos x-ray krn dokumen tdk lengkap, mohon dokumen segera dilengkapi atau kiriman kami kembalikan. Hub JNE di kota anda",,
PS1,OPEN,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,DAMAGE,"KIRIMAN RUSAK, MENUNGGU INSTRUKSI UNTUK PROSES LEBIH LANJUT","SHIPMENT DAMAGE, WAITING FOR FURTHER INSTRUCTION",Y,SHIPMENT PROBLEM,Y,Y,,,IT
PS2,OPEN,"TRANSPORT
 ",PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,MISROUTE,KIRIMAN SALAH AREA TUJUAN ,SHIPMENTS SHIPPED TO WRONG DESTINATION,Y,TRANSPORT PROBLEM,Y,Y,,,IT
HL3,OPEN,INBOUND ,"HOLD 
PROCESS ",,PROPOSE DI MANIFEST TRANSIT,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,MENUNGGU JADWAL PENERUSAN KE KOTA TUJUAN AKHIR,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,Y,WAITING FOR NEXT DEPARTURE SCHEDULE TO FINAL DESTINATION,Y,Y,,CLOSE / UNDEL,IT
