AREA CHECK POINT,GROUPING,IDENTIFIKASI,STATUS CODE,DESCRIPTION,DEFINISI (Bahasa Indonesia),DISPLAYED AT ORION,DISPLAYED AT WEBSITE,DISPLAYED AT MYJNE,STATUS POD
SCO,CUSTOMER REQUEST,PROPOSE DI FUNGSI MODULE IRREG,CR2,CANCEL BY SHIPPER,KIRIMAN DIBATALKAN ATAS PERMINTAAN PENGIRIM,SHIPMENT CANCELLED BY SHIPPER,SHIPMENT CANCELED AS SHIPPERS REQUEST,Y,CLOSE / RETURN ORIGIN
OUTBOUND,CUSTOMER REQUEST,PROPOSE DI FUNGSI MODULE IRREG,CR2,CANCEL BY SHIPPER,KIRIMAN DIBATALKAN ATAS PERMINTAAN PENGIRIM ,SHIPMENT CANCELLED BY SHIPPER,SHIPMENT CANCELED AS SHIPPERS REQUEST,Y,CLOSE / RETURN ORIGIN
OUTBOUND,PROBLEM SHIPMENT,PROPOSE DI FUNGSI MODULE IRREG,PS3,CRISS-CROSS,TERTUKARNYA DUA KIRIMAN ATAU LEBIH DIKARENAKAN KESALAHAN PENEMPELAN RESI PENGIRIMAN ,SHIPMENTS ARE CRISSCROSSED,SHIPMENT PROBLEM,Y,
OUTBOUND,PROBLEM SHIPMENT,PROPOSE DI FUNGSI MODULE IRREG,PS4,MISSING,KIRIMAN HILANG DAN TIDAK DAPAT DITEMUKAN ,SHIPMENT MISSING,SHIPMENT PROBLEM,Y,CLOSE
OUTBOUND,PROBLEM SHIPMENT,PROPOSE DI FUNGSI MODULE IRREG,PS5,SHIPMENT REPACKING,"KIRIMAN RUSAK, DI PROSES PACKING ULANG",SHIPMENT REPACKING,SHIPMENT PROBLEM,Y,CLOSE
OUTBOUND,PROBLEM SHIPMENT,PROPOSE DI FUNGSI MODULE IRREG,PS6,KIRIMAN RETURN RUSAK ,KIRIMAN RETURN RUSAK DITERIMA OLEH PENGIRIM,RETURN SHIPMENT  DAMAGE RECEIVED BY SHIPPER,SHIPMENT PROBLEM,,CLOSE / RETURN
OUTBOUND,PROBLEM SHIPMENT,PROPOSE DI FUNGSI MODULE IRREG,C02,CLAIM DAMAGE PROCESS,,,SHIPMENT PROBLEM,N,CLOSE
OUTBOUND,"HOLD 
PROCESS ",PROPOSE DI FUNGSI MODULE IRREG,HL1,MISMATCH DATA,PENUNDAAN PROSES PENGIRIMAN DI WAREHOUSE KARENA ADA KETIDAKSESUAIAN ANTARA DATA DENGAN FISIK KIRIMAN ,SHIPMENT BEING HELD AT WAREHOUSE DUE TO DATA MISMATCH ,SHIPMENT IS BEING HELD DUE TO MISMATCH DATA,Y,CLOSE / UNDEL
"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",PROPOSE DI FUNGSI MODULE IRREG,T01,OFFLOAD,KIRIMAN SUDAH MASUK PESAWAT/SARANA PENGANGKUT TETAPI KARENA SESUATU HAL KIRIMAN DITURUNKAN KEMBALI ,"SHIPMENT ALREADY UPLOADED, BUT UNLOADED DUE TO CERTAIN REASON",TRANSPORT PROBLEM,Y,
"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",PROPOSE DI FUNGSI MODULE IRREG,T02,OVERLOAD,KIRIMAN TIDAK DAPAT BERANGKAT DIKARENAKAN SUDAH MELEBIHI KAPASITAS MUATAN SARANA PENGANGKUT,SHIPMENT CAN NOT BE LOADED DUE TO CARRIER ALREADY OVER CAPACITY,TRANSPORT PROBLEM,Y,
"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",PROPOSE DI FUNGSI MODULE IRREG,T03,STRANDED,KONDISI KIRIMAN TERTAHAN DI KOTA TRANSIT,SHIPMENT BEING HELD AT TRANSIT CITY,TRANSPORT PROBLEM,Y,
"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",PROPOSE DI FUNGSI MODULE IRREG,T04,EMBARGO,PENGHENTIAN SEMENTARA PENERIMAAN DAN PENGANGKUTAN BARANG KARENA ALASAN TERTENTU,SHIPPING ACTIVITY SUSPENDED TEMPORARY FOR CERTAIN REASON (BY REGULATION),TRANSPORT PROBLEM,Y,
"TRANSPORT
 ","TRANSPORT
 IRREGULARITY
  ",PROPOSE DI FUNGSI MODULE IRREG,T05,OVER CARRIED ,KIRIMAN TERBAWA KE DESTINASI SELANJUTNYA KARENA KESALAHAN PETUGAS AIRLINES/SARANA PENGANGKUT,SHIPMENT CARRIED OVER TO OTHER AIPORT DUE TO TECHNICAL PROBLEM,TRANSPORT PROBLEM,Y,
