Username,Gate Inbound
AGUSRAZ,DIRECT CABANG
AKERTI,DIRECT CABANG
ALBERTO,DIRECT CABANG
ARKAKOE,DIRECT CABANG
ARUMKOE,DIRECT CABANG
ASIK_IN,DIRECT CABANG
BURHANUN,DIRECT CABANG
CHAIRULS,DIRECT CABANG
DULLAKOE,DIRECT CABANG
FAJARIN,DIRECT CABANG
GABRIKOE,DIRECT CABANG
GONASKOE,DIRECT CABANG
HALUNG,DIRECT CABANG
HOMAKOE,DIRECT CABANG
IRENKOE,DIRECT CABANG
IVANKOE,DIRECT CABANG
KONSKOE,DIRECT CABANG
LAZARUSA,DIRECT CABANG
MARHENI,DIRECT CABANG
MARUFKOE,DIRECT CABANG
MEIAKOE,DIRECT CABANG
MFARID,DIRECT CABANG
MILLU,DIRECT CABANG
MUKHKOE,DIRECT CABANG
OAN_MOF,DIRECT CABANG
PAOH,DIRECT CABANG
RANDKOE,DIRECT CABANG
RASYIDAL,DIRECT CABANG
RIAHAEP,DIRECT CABANG
RIHIKOE,DIRECT CABANG
RONIYUSU,DIRECT CABANG
SADEWO_P,DIRECT CABANG
SAMSIATY,DIRECT CABANG
SERVIKOE,DIRECT CABANG
SILFA,DIRECT CABANG
SIPRI_H,DIRECT CABANG
SISKUKOE,DIRECT CABANG
SUMSYKOE,DIRECT CABANG
UMPRIKOE,DIRECT CABANG
UNJUKOE,DIRECT CABANG
YANTIKOE,DIRECT CABANG
MARIAVIL,DIRECT CABANG
PAOHKOE,DIRECT CABANG
MELIVI,DIRECT CABANG
MASYURA,DIRECT CABANG
RITABAL,DIRECT CABANG
PASKAKOE,DIRECT CABANG
FENDHKOE,DIRECT CABANG
SERARABB,DIRECT CABANG
EWIKOE,DIRECT CABANG
FIRANKOE,DIRECT CABANG
FRANYOS,DIRECT CABANG
ISANOT,DIRECT CABANG
RONAJOH,DIRECT CABANG
HILMAKOE,DIRECT CABANG
ASHARIR,DIRECT CABANG
RUDIKOE,DIRECT CABANG
RUZMY,DIRECT CABANG
SRIWADA,DIRECT CABANG
EUGEKOE,DIRECT CABANG
UMARKOE,DIRECT CABANG
MARCELIN,DIRECT CABANG
YOPHEBOY,DIRECT CABANG
FRANSIS,DIRECT CABANG
DASKOE,DIRECT CABANG
SAMSUKOE,DIRECT CABANG
BOKOSAY,DIRECT CABANG
BUPUKOE,DIRECT CABANG
RUSTAKOE,DIRECT CABANG
SIPRIKOE,DIRECT CABANG
YOSAFKOE,DIRECT CABANG
AYU_NS,DIRECT CABANG
AFGANKOE,GATE KUPANG
NYPUTE,GATE KUPANG
MHALMIN,GATE KUPANG
FRNSISIT,GATE KUPANG
ANASKOE,GATE KUPANG
ELIAS,GATE KUPANG
FRASJEOB,GATE KUPANG
JEKY,GATE KUPANG
KADIR_A,GATE KUPANG
MEILIN,GATE KUPANG
MUSTAN,GATE KUPANG
NESIM,GATE KUPANG
NIKODKOE,GATE KUPANG
PEDRO,GATE KUPANG
REGHA,GATE KUPANG
SIGRAKOE,GATE KUPANG
WANGGE,GATE KUPANG
YANKOE,GATE KUPANG
MESIKOE,GATE KUPANG
JNEKOE,GATE KUPANG
RIYANKOE,GATE KUPANG
SUNDAKOE,GATE KUPANG
KAMEKOE,GATE KUPANG
MARIORES,GATE KUPANG
RUSTIKOE,GATE KUPANG
HALIDJAH,GATE KUPANG
HERDYTO,GATE KUPANG
JABAKOE,GATE KUPANG
JABAKOE,GATE KUPANG
BLITI,GATE KUPANG
ANA,GATE KUPANG
NITBAKOE,GATE KUPANG
RATNAKOE,GATE KUPANG
BENGEKOE,GATE KUPANG
REYNAL_D,GATE KUPANG
NURRADH,GATE KUPANG
RIDWAKOE,GATE KUPANG
MUH H,GATE KUPANG
BRAULIO,GATE KUPANG
DIMASKOE,GATE KUPANG
ESTUBAIT,GATE KUPANG
ZAINAKOE,GATE KUPANG
ALFAFKOE,GATE LABUAN BAJO
AVENKOE,GATE LABUAN BAJO
JAINUKOE,GATE LABUAN BAJO
KAYUS,GATE LABUAN BAJO
RADIANTO,GATE LABUAN BAJO
RAMONKOE,GATE LABUAN BAJO
LAHAKOE,GATE LABUAN BAJO
VINSEKOE,GATE LABUAN BAJO
REINLEX,GATE LABUAN BAJO
KUPERTUS,GATE LABUAN BAJO
CICIN,GATE LABUAN BAJO
SYAHIKOE,GATE LABUAN BAJO
HENDRKOE,GATE LABUAN BAJO
ANDITKOE,GATE LABUAN BAJO
IKHKOE,GATE LABUAN BAJO
MANWUIPE,GATE WAINGAPU
THIUMB,GATE WAINGAPU
YOSUAU,GATE WAINGAPU
ARSINSAK,GATE WAINGAPU
YUSPAN,GATE WAINGAPU
RISKKOE,GATE WAINGAPU
SERARAB,GATE WAINGAPU
MELINDAP,GATE WAINGAPU
ISABL,GATE WAINGAPU
DRIBILI,GATE WAINGAPU
ELSOKOE,GATE KUPANG
GETSEKOE,GATE KUPANG
BERTON N,GATE KUPANG
YANDRES,GATE KUPANG
CHANKOE,GATE KUPANG
SALAHUDI,GATE KUPANG
ARIEFKOE,GATE LABUAN BAJO
LEJAPKOE,GATE KUPANG
RADJAKOE,DIRECT CABANG
DIRAKOE,DIRECT CABANG
DJOHRA,GATE KUPANG
FRIEDKOE,DIRECT CABANG
WAGOKOE,DIRECT CABANG
KOE_ENDE,GATE LABUAN BAJO
KOE_LST,GATE LABUAN BAJO
KOE_MMR,GATE LABUAN BAJO
YOTAMKOE,GATE KUPANG
WENDOKOE,DIRECT CABANG
YDEWIS,DIRECT CABANG
ASHINU,DIRECT CABANG
PIUSKOE,DIRECT CABANG
KOE_BJW,DIRECT CABANG
KOE_BRG,DIRECT CABANG
KOELRTK2,DIRECT CABANG
KOE_LMBT,DIRECT CABANG
KOE_MBAY,DIRECT CABANG
KOE_RTG,DIRECT CABANG
KOE_BJW2,DIRECT CABANG
KOE_BRG2,DIRECT CABANG
KOE_LRTK,DIRECT CABANG
NOVILKOE,DIRECT CABANG
BELLO,DIRECT CABANG
SCOLASTI,DIRECT CABANG
VERONKOE,DIRECT CABANG
DAADO,DIRECT CABANG
BAHRIA,DIRECT CABANG
HADJAR,DIRECT CABANG
BOBYKOE,DIRECT CABANG
EDUARKOE,GATE KUPANG
SENDEKOE,DIRECT CABANG
ERYUIGPO,DIRECT CABANG
DEZULKAR,DIRECT CABANG
RCHISMA,DIRECT CABANG
IBRAHKOE,GATE KUPANG
YULIDIA,DIRECT CABANG
ATEKOE,GATE KUPANG
RNNALA,DIRECT CABANG
NABILKOE,DIRECT CABANG
FADLYPUA,DIRECT CABANG
LENDEKOE,GATE TAMBOLAKA
GILDICA,DIRECT CABANG
VASELVI,DIRECT CABANG
MARIA MA,DIRECT CABANG
DETHAKOE,DIRECT CABANG
FASISI,DIRECT CABANG
TANEOKOE,DIRECT CABANG
TIMDANI,DIRECT CABANG
SADRAKOE,DIRECT CABANG
MARIPAT,DIRECT CABANG
M IRVAN,GATE KUPANG
JEKSOKOE,DIRECT CABANG
SELSAN,DIRECT CABANG
BUSA,DIRECT CABANG
URSALKOE,DIRECT CABANG
YEHETO,GATE KUPANG
RPUTRAH,GATE KUPANG
HRVEDA,DIRECT CABANG
HENWADI,GATE KUPANG
PTRVIDS,GATE KUPANG
SYARIKOE,GATE KUPANG
ALBADAR,DIRECT CABANG
ASNONI,GATE KUPANG
BALIDKOE,DIRECT CABANG
ISABEKOE,DIRECT CABANG
MATIAKOE,GATE KUPANG
MKADAFI,GATE KUPANG
YHENBR,DIRECT CABANG
RAFKMUD,DIRECT CABANG
CLAWAP,DIRECT CABANG
FELIX_BN,DIRECT CABANG
FIRLEDA,DIRECT CABANG
YERRYKOE,DIRECT CABANG
WIROKOE,DIRECT CABANG
