MANIFEST USER ID,MANIFEST GATE
MUH H,Gate Kupang
JEMADIKB,Gate Kupang
DWICAKOE,Gate Kupang
PAOHKOE,Cabang
YOHARUD,Gate Kupang
ELSOKOE,Gate Kupang
NUARIKOE,Gate Kupang
GABRIKOE,Cabang
MILLU,Cabang
AGUSRAZ,Cabang
ISABLKOE,Gate Waingapu
HILMAKOE,Cabang
RANDKOE,Cabang
DULLAKOE,Cabang
ARUMKOE,Cabang
FRANYOS,Cabang
KADIR,Gate Kupang
JNEKOE,Gate Kupang
LUYA,Cabang
MASYURA,Cabang
JEKSOKOE,Cabang
WENDOKOE,Cabang
RASYIDAL,Cabang
IRENKOE,Cabang
ASHINU,Cabang
MARIORES,Gate Kupang
YOSAFKOE,Cabang
RUDIKOE,Gate Kupang
SADEWO_P,Cabang
HOMAKOE,Cabang
RITABAL,Cabang
KAMEKOE,Gate Kupang
FAJARIN,Cabang
HADJAR,Cabang
FADLYPUA,Gate Maumere
MFARID,Gate Ende
HIDAYATL,Gate Labuan Bajo
BOKOSAY,Cabang
HALUNG,Cabang
ASIK_IN,Cabang
UNJUKOE,Gate Ende
RAHMULFA,Cabang
PIUSKOE,Cabang
OAN_MOF,Gate Maumere
BUSA,Cabang
EWIKOE,Cabang
GONASKOE,Cabang
UMARKOE,Cabang
EUSTAKOE,Cabang
SILFA,Cabang
VERONKOE,Cabang
RCHISMA,Cabang
AKERTI,Cabang
