Tanggal Entry,SM NO,SM SCH DATE,REMARKS SM,SMU REMARKS DATE,SMU BAG,AWB,ket
2026-07-01 00:00:00,2747729867TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:29:00,'KOEEC02399560526,1,
2026-07-01 00:00:00,2747729872MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:28:00,'AA64588692,3,
2026-07-01 00:00:00,2747729872MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:28:00,'AA64588709,9,
2026-07-01 00:00:00,2747729872MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:28:00,'AA64588843,3,
2026-07-01 00:00:00,2747729872MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:28:00,'AA72259937,5,
2026-07-01 00:00:00,2747729935TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:30:00,'AA64588735,1,
2026-07-01 00:00:00,2747729935TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:30:00,'AA64588737,27,
2026-07-01 00:00:00,2747729935TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:30:00,'AA64588894,13,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588825,19,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588826,23,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588829,3,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588830,25,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588831,10,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588833,13,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588835,18,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588842,7,
2026-07-01 00:00:00,2747729939MOF,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:51:00,'AA64588845,19,
2026-07-01 00:00:00,2747729950TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:30:00,'AA64588893,15,
2026-07-01 00:00:00,2747729950TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:30:00,'AA64588911,13,
2026-07-01 00:00:00,2747729990KOE,2026-07-01 00:00:00,LENGKAP,2026-07-01 14:20:00,'AA72299358,16,
2026-07-01 00:00:00,2747730018TMC,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:19:00,'AA72259977,1,
2026-07-01 00:00:00,51300088535ENE,2026-07-01 00:00:00,LENGKAP,2026-07-01 12:03:00,'YS15284610,19,
2026-07-01 00:00:00,51300088535LBJ,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:29:00,'YS15284611,25,
2026-07-01 00:00:00,51300093936ENE,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:29:00,'AA64588867,10,
2026-07-01 00:00:00,51300093936ENE,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:29:00,'AA64588868,10,
2026-07-01 00:00:00,51300093936ENE,2026-07-01 00:00:00,LENGKAP,2026-07-01 10:29:00,'AA64588869,14,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202335,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202336,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202337,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202338,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202339,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202340,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202341,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202342,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202343,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202344,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202345,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202346,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202347,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202348,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202349,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202350,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202351,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202352,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202353,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202354,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202355,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202356,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202357,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202358,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202359,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202365,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202366,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202367,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202368,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202369,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202370,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202371,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202372,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202373,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202374,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'AD99202376,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'TR51638725,1,
2026-07-01 00:00:00,8612454,2026-07-01 00:00:00,LENGKAP,,'TR51638726,1,
2026-07-01 00:00:00,88811831562,2026-07-01 00:00:00,LENGKAP,2026-07-01 23:56:00,'AA69471245,2,
2026-07-01 00:00:00,88811831562,2026-07-01 00:00:00,LENGKAP,2026-07-01 23:56:00,'AA69471252,17,
2026-07-01 00:00:00,88811831562,2026-07-01 00:00:00,LENGKAP,2026-07-01 23:56:00,'AA72259966,1,
2026-07-01 00:00:00,88811831562,2026-07-01 00:00:00,LENGKAP,2026-07-01 23:56:00,'AD106578989,1,
2026-07-01 00:00:00,88811831562,2026-07-01 00:00:00,LENGKAP,2026-07-01 23:56:00,'AD99202289,1,
2026-07-01 00:00:00,88811831595,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:06:00,'AA69471223,23,
2026-07-01 00:00:00,88811831595,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:06:00,'AA69471227,8,
2026-07-01 00:00:00,88811831595,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:06:00,'AA69471247,20,
2026-07-01 00:00:00,88811831595,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:06:00,'AA69471251,21,
2026-07-01 00:00:00,88811831654,2026-07-01 00:00:00,LENGKAP,2026-07-02 00:39:00,'AA72259973,31,
2026-07-01 00:00:00,88811831654,2026-07-01 00:00:00,LENGKAP,2026-07-02 00:39:00,'AD106578991,10,
2026-07-01 00:00:00,88811831654,2026-07-01 00:00:00,LENGKAP,2026-07-02 00:39:00,'AD106578998,6,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471221,21,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471222,39,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471224,3,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471225,4,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471226,14,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471228,37,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471230,3,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471234,4,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471241,6,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AA69471242,6,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AD102696502,1,
2026-07-01 00:00:00,88811831691,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AD102696510,8,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA69471248,1,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259968,6,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259969,16,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259970,1,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259971,21,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259972,8,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259978,27,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259979,1,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259980,5,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259981,6,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259982,8,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AA72259983,5,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AD106578990,21,
2026-07-01 00:00:00,88811831783,2026-07-01 00:00:00,LENGKAP,2026-07-01 16:26:00,'AD106578992,17,
2026-07-01 00:00:00,88811831820,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'AD102696506,20,
2026-07-01 00:00:00,88811831820,2026-07-01 00:00:00,LENGKAP,2026-07-01 11:28:00,'YS15281191,21,
